DOI,omid
10.1145/1753326.1753693,br/062503170877
10.1145/1753326.1753695,br/062503170887
10.1145/1753326.1753696,br/062403172316
10.1145/1753326.1753697,br/062403172314
10.1145/1753326.1753699,br/062503170447
10.1145/1753326.1753700,br/062403172292
10.1145/1753326.1753701,br/062403172304
10.1145/1753326.1753703,br/062403172100
10.1145/1753326.1753704,br/062503170818
10.1145/1753326.1753706,br/062503171024
10.1145/1753326.1753707,br/062403172427
10.1145/1753326.1753709,br/062503170822
10.1145/1753326.1753711,br/062403172135
10.1145/1753326.1753712,br/062503171050
10.1145/1753326.1753714,br/062503170567
10.1145/1753326.1753715,br/062503170797
10.1145/1753326.1753716,br/062503171166
10.1145/1753326.1753718,br/062403172541
10.1145/1753326.1753719,br/062503171153
10.1145/1753326.1753720,br/062403172339
10.1145/1753326.1753721,br/062403172163
10.1145/1753326.1753723,br/062503170838
10.1145/1753326.1753724,br/062503171112
10.1145/1753326.1753725,br/062403172402
10.1145/1753326.2167153,br/061603863853
10.1145/1753326.2167157,br/06380183623
10.1145/1753326.2167158,br/062603995118
10.1145/1978942.1978944,br/061303135213
10.1145/1978942.1978945,br/061303134811
10.1145/1978942.1978946,br/061403129565
10.1145/1978942.1978947,br/061303134797
10.1145/1978942.1978950,br/061503151326
10.1145/1978942.1978951,br/061403128888
10.1145/1978942.1978952,br/061303135114
10.1145/1978942.1978953,br/061303134963
10.1145/1978942.1978955,br/061403129608
10.1145/1978942.1978956,br/061503151320
10.1145/1978942.1978957,br/061403129104
10.1145/1978942.1978958,br/061403129478
10.1145/1978942.1978960,br/061403129480
10.1145/1978942.1978961,br/061403128942
10.1145/1978942.1978962,br/061503151323
10.1145/1978942.1978963,br/061403129111
10.1145/1978942.1978965,br/061403129090
10.1145/1978942.1978966,br/061403129521
10.1145/1978942.1978967,br/061403129545
10.1145/1978942.1978969,br/061503151352
10.1145/1978942.1978970,br/061303134698
10.1145/1978942.1978971,br/061503151347
10.1145/1978942.1978972,br/061303135062
10.1145/1978942.1978974,br/061303134791
10.1145/1978942.1978975,br/061403129528
10.1145/1978942.1978976,br/061303135268
10.1145/1978942.1978977,br/061303135097
10.1145/1978942.1978979,br/061403129074
10.1145/1978942.1978980,br/061303134832
10.1145/1978942.1978981,br/061303134858
10.1145/1978942.1978983,br/061403129191
10.1145/1978942.1978984,br/061303135177
10.1145/1978942.1978985,br/061403129419
10.1145/1978942.1978986,br/061303134828
10.1145/1978942.1978988,br/061403129622
10.1145/1978942.1978989,br/061503151337
10.1145/1978942.1978990,br/061303134843
10.1145/1978942.1978991,br/061303134937
10.1145/1978942.1978992,br/061303134410
10.1145/1978942.1978994,br/061503151272
10.1145/1978942.1978995,br/061103157471
10.1145/1978942.1978996,br/061403129483
10.1145/1978942.1978997,br/061403129482
10.1145/1978942.1978999,br/061403129167
10.1145/1978942.1979000,br/061403129257
10.1145/1978942.1979001,br/061403129258
10.1145/1978942.1979003,br/061303135259
10.1145/1978942.1979004,br/061403128983
10.1145/1978942.1979005,br/061303134948
10.1145/1978942.1979006,br/061403129600
10.1145/1978942.1979008,br/061303135124
10.1145/1978942.1979009,br/061403128911
10.1145/1978942.1979010,br/061403129026
10.1145/1978942.1979011,br/061503151135
10.1145/1978942.1979013,br/061403129048
10.1145/1978942.1979014,br/061403128860
10.1145/1978942.1979016,br/061303134585
10.1145/1978942.1979017,br/061303135011
10.1145/1978942.1979018,br/061303135257
10.1145/1978942.1979019,br/061403129580
10.1145/1978942.1979020,br/061403129063
10.1145/1978942.1979022,br/061503151315
10.1145/1978942.1979023,br/061403129532
10.1145/1978942.1979024,br/061303135218
10.1145/1978942.1979025,br/061503151330
10.1145/1978942.1979027,br/061303134936
10.1145/1978942.1979028,br/061403128934
10.1145/1978942.1979029,br/061303134538
10.1145/1978942.1979030,br/061403129380
10.1145/1978942.1979031,br/061403129634
10.1145/1978942.1979033,br/061403129422
10.1145/1978942.1979034,br/061403129534
10.1145/1978942.1979035,br/061403128857
10.1145/1978942.1979037,br/061403129438
10.1145/1978942.1979038,br/061303135204
10.1145/1978942.1979039,br/061403128760
10.1145/1978942.1979041,br/061503151338
10.1145/1978942.1979042,br/061403128940
10.1145/1978942.1979043,br/061403129073
10.1145/1978942.1979044,br/061303135339
10.1145/1978942.1979046,br/061303135266
10.1145/1978942.1979047,br/061403129381
10.1145/1978942.1979048,br/061403129019
10.1145/1978942.1979049,br/061303134818
10.1145/1978942.1979050,br/061303134805
10.1145/1978942.1979052,br/061503151281
10.1145/1978942.1979053,br/061503151336
10.1145/1978942.1979054,br/061503151354
10.1145/1978942.1979055,br/061303134537
10.1145/1978942.1979056,br/061503151355
10.1145/1978942.1979058,br/061103157588
10.1145/1978942.1979059,br/061403128930
10.1145/1978942.1979060,br/061303134682
10.1145/1978942.1979061,br/061403129060
10.1145/1978942.1979062,br/061403128927
10.1145/1978942.1979064,br/061103157540
10.1145/1978942.1979065,br/061303134812
10.1145/1978942.1979066,br/061303134386
10.1145/1978942.1979067,br/061503151202
10.1145/1978942.1979068,br/061303135231
10.1145/1978942.1979070,br/061403129076
10.1145/1978942.1979071,br/061303135233
10.1145/1978942.1979072,br/061303134746
10.1145/1978942.1979073,br/061503151293
10.1145/1978942.1979075,br/061403128912
10.1145/1978942.1979077,br/061403129075
10.1145/1978942.1979078,br/061403129515
10.1145/1978942.1979079,br/061403128748
10.1145/1978942.1979081,br/061303135134
10.1145/1978942.1979082,br/061403129053
10.1145/1978942.1979083,br/061403128889
10.1145/1978942.1979085,br/061403129472
10.1145/1978942.1979086,br/061303135185
10.1145/1978942.1979087,br/061303134783
10.1145/1978942.1979088,br/061303134506
10.1145/1978942.1979090,br/061403129084
10.1145/1978942.1979091,br/061303134778
10.1145/1978942.1979092,br/061303134935
10.1145/1978942.1979094,br/061303134576
10.1145/1978942.1979095,br/061303134655
10.1145/1978942.1979096,br/061303135209
10.1145/1978942.1979097,br/061403129489
10.1145/1978942.1979099,br/061403129092
10.1145/1978942.1979100,br/061503151333
10.1145/1978942.1979102,br/061303134702
10.1145/1978942.1979103,br/061103157432
10.1145/1978942.1979104,br/061403129502
10.1145/1978942.1979105,br/061403129041
10.1145/1978942.1979106,br/061303134831
10.1145/1978942.1979108,br/061403128918
10.1145/1978942.1979109,br/061103157460
10.1145/1978942.1979110,br/061403128933
10.1145/1978942.1979111,br/061303135229
10.1145/1978942.1979112,br/061403129151
10.1145/1978942.1979114,br/061303135265
10.1145/1978942.1979115,br/061303135200
10.1145/1978942.1979116,br/061403129490
10.1145/1978942.1979117,br/061303135037
10.1145/1978942.1979119,br/061303134373
10.1145/1978942.1979120,br/061303134877
10.1145/1978942.1979121,br/061403129479
10.1145/1978942.1979122,br/061503151298
10.1145/1978942.1979124,br/061303135247
10.1145/1978942.1979125,br/061403129530
10.1145/1978942.1979126,br/061503151358
10.1145/1978942.1979127,br/061103157507
10.1145/1978942.1979129,br/061303134923
10.1145/1978942.1979130,br/061103157554
10.1145/1978942.1979131,br/061403128858
10.1145/1978942.1979132,br/061103157416
10.1145/1978942.1979133,br/061303134804
10.1145/1978942.1979135,br/061403129188
10.1145/1978942.1979136,br/061403128928
10.1145/1978942.1979137,br/061303134825
10.1145/1978942.1979138,br/061403129457
10.1145/1978942.1979140,br/061403129068
10.1145/1978942.1979141,br/061503151351
10.1145/1978942.1979142,br/061503151339
10.1145/1978942.1979143,br/061403128899
10.1145/1978942.1979145,br/061303135038
10.1145/1978942.1979146,br/061503151329
10.1145/1978942.1979147,br/061403129448
10.1145/1978942.1979148,br/061303134848
10.1145/1978942.1979150,br/061303134701
10.1145/1978942.1979151,br/061303134764
10.1145/1978942.1979152,br/061403129413
10.1145/1978942.1979153,br/061403129296
10.1145/1978942.1979155,br/061403129485
10.1145/1978942.1979156,br/061503151361
10.1145/1978942.1979157,br/061303134934
10.1145/1978942.1979158,br/061303134839
10.1145/1978942.1979160,br/061303134853
10.1145/1978942.1979161,br/061403129077
10.1145/1978942.1979162,br/061303134376
10.1145/1978942.1979164,br/061103157574
10.1145/1978942.1979165,br/061403129232
10.1145/1978942.1979166,br/061403129460
10.1145/1978942.1979167,br/061403129047
10.1145/1978942.1979169,br/061403129443
10.1145/1978942.1979170,br/061303134816
10.1145/1978942.1979171,br/061303135222
10.1145/1978942.1979173,br/061403128944
10.1145/1978942.1979174,br/061403129616
10.1145/1978942.1979175,br/061303135077
10.1145/1978942.1979176,br/061403129302
10.1145/1978942.1979177,br/061403128905
10.1145/1978942.1979179,br/061403129426
10.1145/1978942.1979180,br/061303134704
10.1145/1978942.1979181,br/061403129446
10.1145/1978942.1979182,br/061403129652
10.1145/1978942.1979183,br/061503151343
10.1145/1978942.1979185,br/061303134822
10.1145/1978942.1979186,br/061303134461
10.1145/1978942.1979187,br/061303134771
10.1145/1978942.1979189,br/061403129516
10.1145/1978942.1979190,br/061403129466
10.1145/1978942.1979191,br/061303134824
10.1145/1978942.1979193,br/061303134390
10.1145/1978942.1979194,br/061403129039
10.1145/1978942.1979195,br/061503151294
10.1145/1978942.1979196,br/061503151366
10.1145/1978942.1979198,br/061303134763
10.1145/1978942.1979199,br/061403129051
10.1145/1978942.1979200,br/061303134699
10.1145/1978942.1979201,br/061403129050
10.1145/1978942.1979203,br/061403129539
10.1145/1978942.1979204,br/061303134765
10.1145/1978942.1979205,br/061503151349
10.1145/1978942.1979206,br/061303134374
10.1145/1978942.1979207,br/061303135176
10.1145/1978942.1979209,br/061403129072
10.1145/1978942.1979210,br/061403129036
10.1145/1978942.1979211,br/061303134803
10.1145/1978942.1979213,br/061403129088
10.1145/1978942.1979214,br/061403129017
10.1145/1978942.1979215,br/061403129102
10.1145/1978942.1979217,br/061403129508
10.1145/1978942.1979218,br/061503151265
10.1145/1978942.1979219,br/061303134775
10.1145/1978942.1979221,br/061403129464
10.1145/1978942.1979222,br/061303134668
10.1145/1978942.1979223,br/061103157476
10.1145/1978942.1979225,br/061403129042
10.1145/1978942.1979226,br/061303135237
10.1145/1978942.1979227,br/061303135190
10.1145/1978942.1979229,br/061403129105
10.1145/1978942.1979230,br/061403129517
10.1145/1978942.1979232,br/061403129605
10.1145/1978942.1979233,br/061303135253
10.1145/1978942.1979235,br/061503151346
10.1145/1978942.1979236,br/061303134528
10.1145/1978942.1979237,br/061303134844
10.1145/1978942.1979238,br/061403128926
10.1145/1978942.1979239,br/061303134901
10.1145/1978942.1979240,br/061403128816
10.1145/1978942.1979242,br/061403129046
10.1145/1978942.1979243,br/061303135206
10.1145/1978942.1979244,br/061503151283
10.1145/1978942.1979245,br/061303134400
10.1145/1978942.1979247,br/061303134654
10.1145/1978942.1979248,br/061303134366
10.1145/1978942.1979249,br/061403129021
10.1145/1978942.1979251,br/061403128908
10.1145/1978942.1979252,br/061403129098
10.1145/1978942.1979253,br/061303134851
10.1145/1978942.1979254,br/061503151319
10.1145/1978942.1979256,br/061303135335
10.1145/1978942.1979257,br/061303134868
10.1145/1978942.1979258,br/061303134833
10.1145/1978942.1979260,br/061403128811
10.1145/1978942.1979261,br/061403128783
10.1145/1978942.1979262,br/061303134793
10.1145/1978942.1979263,br/061303134535
10.1145/1978942.1979264,br/061403128742
10.1145/1978942.1979266,br/061503151357
10.1145/1978942.1979267,br/061403129513
10.1145/1978942.1979268,br/061403129514
10.1145/1978942.1979269,br/061103157590
10.1145/1978942.1979270,br/061503151332
10.1145/1978942.1979272,br/061503151274
10.1145/1978942.1979273,br/061303135118
10.1145/1978942.1979274,br/061403129510
10.1145/1978942.1979275,br/061403129525
10.1145/1978942.1979277,br/061303135029
10.1145/1978942.1979278,br/061303135234
10.1145/1978942.1979280,br/061303135245
10.1145/1978942.1979281,br/061503151148
10.1145/1978942.1979282,br/061403129484
10.1145/1978942.1979283,br/061303134899
10.1145/1978942.1979285,br/061303134520
10.1145/1978942.1979286,br/061303135238
10.1145/1978942.1979287,br/061403129093
10.1145/1978942.1979288,br/061303134439
10.1145/1978942.1979290,br/061403129107
10.1145/1978942.1979291,br/061303134788
10.1145/1978942.1979292,br/061303135324
10.1145/1978942.1979293,br/061303134792
10.1145/1978942.1979295,br/061303134442
10.1145/1978942.1979296,br/061303134397
10.1145/1978942.1979297,br/061503151303
10.1145/1978942.1979298,br/061403128954
10.1145/1978942.1979299,br/061303134939
10.1145/1978942.1979301,br/061303135207
10.1145/1978942.1979302,br/061303135202
10.1145/1978942.1979303,br/061303134776
10.1145/1978942.1979304,br/061303134570
10.1145/1978942.1979306,br/061303134801
10.1145/1978942.1979307,br/061503151342
10.1145/1978942.1979308,br/061403129100
10.1145/1978942.1979309,br/061403129458
10.1145/1978942.1979311,br/061403129654
10.1145/1978942.1979312,br/061503151341
10.1145/1978942.1979313,br/061403129511
10.1145/1978942.1979314,br/061303134571
10.1145/1978942.1979316,br/061503151345
10.1145/1978942.1979317,br/061403128907
10.1145/1978942.1979318,br/061503151290
10.1145/1978942.1979319,br/061303134393
10.1145/1978942.1979321,br/061403129436
10.1145/1978942.1979322,br/061303135036
10.1145/1978942.1979323,br/061303134360
10.1145/1978942.1979324,br/061503151350
10.1145/1978942.1979325,br/061403129420
10.1145/1978942.1979326,br/061303134443
10.1145/1978942.1979328,br/061403129512
10.1145/1978942.1979329,br/061303134512
10.1145/1978942.1979330,br/061403128937
10.1145/1978942.1979331,br/061303134444
10.1145/1978942.1979332,br/061403128828
10.1145/1978942.1979334,br/061403129010
10.1145/1978942.1979335,br/061303135022
10.1145/1978942.1979336,br/061403129037
10.1145/1978942.1979337,br/061403128743
10.1145/1978942.1979338,br/061303134635
10.1145/1978942.1979340,br/061303134367
10.1145/1978942.1979341,br/061503151325
10.1145/1978942.1979342,br/061303135243
10.1145/1978942.1979343,br/061303135250
10.1145/1978942.1979344,br/061403129471
10.1145/1978942.1979345,br/061403128845
10.1145/1978942.1979346,br/061403129329
10.1145/1978942.1979348,br/061403128931
10.1145/1978942.1979349,br/061303135254
10.1145/1978942.1979350,br/061503151211
10.1145/1978942.1979351,br/061403129450
10.1145/1978942.1979353,br/061303134389
10.1145/1978942.1979354,br/061403129245
10.1145/1978942.1979355,br/061103157575
10.1145/1978942.1979356,br/061303134760
10.1145/1978942.1979357,br/061503151448
10.1145/1978942.1979359,br/061403128913
10.1145/1978942.1979361,br/061303135264
10.1145/1978942.1979362,br/061303134398
10.1145/1978942.1979364,br/061303134777
10.1145/1978942.1979365,br/061303134379
10.1145/1978942.1979366,br/061403129527
10.1145/1978942.1979368,br/061403129101
10.1145/1978942.1979370,br/061403128946
10.1145/1978942.1979371,br/061103157571
10.1145/1978942.1979372,br/061303135274
10.1145/1978942.1979374,br/061403128971
10.1145/1978942.1979375,br/061303135184
10.1145/1978942.1979376,br/061403129437
10.1145/1978942.1979378,br/061403129038
10.1145/1978942.1979379,br/061303134826
10.1145/1978942.1979380,br/061503151340
10.1145/1978942.1979381,br/061403129096
10.1145/1978942.1979382,br/061403129607
10.1145/1978942.1979384,br/061303135246
10.1145/1978942.1979385,br/061103157493
10.1145/1978942.1979386,br/061403129256
10.1145/1978942.1979387,br/061303135267
10.1145/1978942.1979388,br/061403129694
10.1145/1978942.1979390,br/061403128923
10.1145/1978942.1979391,br/061403129522
10.1145/1978942.1979392,br/061303134938
10.1145/1978942.1979393,br/061303134835
10.1145/1978942.1979395,br/061303135198
10.1145/1978942.1979396,br/061503151422
10.1145/1978942.1979397,br/061403128943
10.1145/1978942.1979398,br/061503151384
10.1145/1978942.1979400,br/061403129016
10.1145/1978942.1979402,br/061303134786
10.1145/1978942.1979403,br/061403129340
10.1145/1978942.1979404,br/061303134569
10.1145/1978942.1979405,br/061503151149
10.1145/1978942.1979407,br/061403128938
10.1145/1978942.1979408,br/061303135142
10.1145/1978942.1979409,br/061403129304
10.1145/1978942.1979410,br/061403129401
10.1145/1978942.1979411,br/061303134399
10.1145/1978942.1979413,br/061403129533
10.1145/1978942.1979414,br/061403129015
10.1145/1978942.1979415,br/061403129004
10.1145/1978942.1979416,br/061303134766
10.1145/1978942.1979417,br/061303134403
10.1145/1978942.1979419,br/061403129033
10.1145/1978942.1979420,br/061403129065
10.1145/1978942.1979421,br/061503151291
10.1145/1978942.1979422,br/061503151296
10.1145/1978942.1979424,br/061103157589
10.1145/1978942.1979425,br/061403129097
10.1145/1978942.1979426,br/061303135244
10.1145/1978942.1979427,br/061403128963
10.1145/1978942.1979428,br/061303134940
10.1145/1978942.1979430,br/061303134871
10.1145/1978942.1979431,br/061303135255
10.1145/1978942.1979432,br/061303135181
10.1145/1978942.1979433,br/061103157630
10.1145/1978942.1979434,br/061403129011
10.1145/1978942.1979436,br/061303134703
10.1145/1978942.1979437,br/061303135262
10.1145/1978942.1979438,br/061403129444
10.1145/1978942.1979439,br/061403129094
10.1145/1978942.1979444,br/061403129526
10.1145/1978942.1979445,br/061403129463
10.1145/1978942.1979446,br/061303134787
10.1145/1978942.1979447,br/061503151221
10.1145/1978942.1979448,br/061303134645
10.1145/1978942.1979450,br/061403129055
10.1145/1978942.1979451,br/061403128810
10.1145/1978942.1979452,br/061403129061
10.1145/1978942.1979453,br/061403129524
10.1145/1978942.1979454,br/061503151312
10.1145/1978942.1979456,br/061303134807
10.1145/1978942.1979457,br/061403129086
10.1145/1978942.1979458,br/061403129493
10.1145/1978942.1979459,br/061403128962
10.1145/1978942.2167166,br/06203401392
10.1145/1978942.2167175,br/06203401337
10.1145/1978942.2167183,br/06103414549
10.1145/2207676.2207678,br/061502990366
10.1145/2207676.2207679,br/061502990167
10.1145/2207676.2207680,br/061502990356
10.1145/2207676.2207681,br/061502990481
10.1145/2207676.2207682,br/061502990324
10.1145/2207676.2207684,br/061502990225
10.1145/2207676.2207685,br/061502990512
10.1145/2207676.2207687,br/061502990440
10.1145/2207676.2207688,br/061502990331
10.1145/2207676.2207689,br/061502990363
10.1145/2207676.2207690,br/061502990222
10.1145/2207676.2207692,br/061502990135
10.1145/2207676.2207693,br/061502990552
10.1145/2207676.2207694,br/061502990112
10.1145/2207676.2207695,br/061502990344
10.1145/2207676.2207697,br/061502990152
10.1145/2207676.2207698,br/061502990533
10.1145/2207676.2207699,br/061502990360
10.1145/2207676.2207700,br/061502990563
10.1145/2207676.2207702,br/061502990524
10.1145/2207676.2207703,br/061502990318
10.1145/2207676.2207704,br/061502990173
10.1145/2207676.2207705,br/061502990560
10.1145/2207676.2207706,br/061502990195
10.1145/2207676.2207708,br/061502990499
10.1145/2207676.2207709,br/061502990357
10.1145/2207676.2207710,br/061502990043
10.1145/2207676.2207711,br/061502990431
10.1145/2207676.2207713,br/061502990315
10.1145/2207676.2207714,br/061502990245
10.1145/2207676.2207715,br/061502990328
10.1145/2207676.2207716,br/061502990323
10.1145/2207676.2207718,br/061502990442
10.1145/2207676.2207719,br/061502990485
10.1145/2207676.2207720,br/061502990451
10.1145/2207676.2207722,br/061502990141
10.1145/2207676.2207723,br/061502990549
10.1145/2207676.2207724,br/061502990176
10.1145/2207676.2207725,br/061502990008
10.1145/2207676.2207727,br/061502990330
10.1145/2207676.2207728,br/061502990381
10.1145/2207676.2207729,br/061502990399
10.1145/2207676.2207730,br/061502990286
10.1145/2207676.2207731,br/061502990206
10.1145/2207676.2207733,br/061502990168
10.1145/2207676.2207734,br/061502990227
10.1145/2207676.2207735,br/061502990139
10.1145/2207676.2207736,br/061502990262
10.1145/2207676.2207738,br/061502990550
10.1145/2207676.2207739,br/061502990224
10.1145/2207676.2207740,br/061502990272
10.1145/2207676.2207741,br/061502990444
10.1145/2207676.2207743,br/061502990166
10.1145/2207676.2207744,br/061502990536
10.1145/2207676.2207745,br/061502990036
10.1145/2207676.2207746,br/061502990283
10.1145/2207676.2207747,br/061502990065
10.1145/2207676.2207749,br/061502990156
10.1145/2207676.2207750,br/061502990337
10.1145/2207676.2207751,br/061502990523
10.1145/2207676.2207752,br/061502989981
10.1145/2207676.2207754,br/061502990210
10.1145/2207676.2207755,br/061502990494
10.1145/2207676.2207756,br/061502990418
10.1145/2207676.2207758,br/061502990048
10.1145/2207676.2207759,br/061502990519
10.1145/2207676.2207760,br/061502990406
10.1145/2207676.2207761,br/061502990372
10.1145/2207676.2207763,br/061502990373
10.1145/2207676.2207764,br/061502990019
10.1145/2207676.2207765,br/061502990252
10.1145/2207676.2207766,br/061502990061
10.1145/2207676.2207767,br/061502990445
10.1145/2207676.2207768,br/061502990396
10.1145/2207676.2207770,br/061502990505
10.1145/2207676.2207771,br/061502990201
10.1145/2207676.2207772,br/061502990531
10.1145/2207676.2207773,br/061502990126
10.1145/2207676.2207774,br/061502990353
10.1145/2207676.2207776,br/061502990120
10.1145/2207676.2207777,br/061502990437
10.1145/2207676.2207779,br/061502990285
10.1145/2207676.2207780,br/061502990526
10.1145/2207676.2207781,br/061502990322
10.1145/2207676.2207782,br/061502990097
10.1145/2207676.2207783,br/061502990154
10.1145/2207676.2207786,br/061502990338
10.1145/2207676.2207787,br/061502990124
10.1145/2207676.2207788,br/061502990062
10.1145/2207676.2207789,br/061502990326
10.1145/2207676.2207791,br/061502990466
10.1145/2207676.2208518,br/061502990335
10.1145/2207676.2208519,br/061502990080
10.1145/2207676.2208520,br/061502990558
10.1145/2207676.2208521,br/061502990527
10.1145/2207676.2208523,br/061502990024
10.1145/2207676.2208524,br/061502990462
10.1145/2207676.2208525,br/061502990169
10.1145/2207676.2208526,br/061502990309
10.1145/2207676.2208528,br/061502990020
10.1145/2207676.2208529,br/061502990218
10.1145/2207676.2208530,br/061502989996
10.1145/2207676.2208532,br/061502990404
10.1145/2207676.2208533,br/061502990236
10.1145/2207676.2208534,br/061502990193
10.1145/2207676.2208536,br/061502990260
10.1145/2207676.2208538,br/061502990030
10.1145/2207676.2208539,br/061502990557
10.1145/2207676.2208540,br/061502990031
10.1145/2207676.2208541,br/061502990515
10.1145/2207676.2208543,br/061502990158
10.1145/2207676.2208544,br/061502990441
10.1145/2207676.2208545,br/061502990530
10.1145/2207676.2208547,br/061502990170
10.1145/2207676.2208548,br/061502990136
10.1145/2207676.2208549,br/061502990483
10.1145/2207676.2208550,br/061502990551
10.1145/2207676.2208552,br/061502990127
10.1145/2207676.2208553,br/061502990163
10.1145/2207676.2208554,br/061502990217
10.1145/2207676.2208556,br/061502990518
10.1145/2207676.2208557,br/061502990516
10.1145/2207676.2208558,br/061502990038
10.1145/2207676.2208560,br/061502990130
10.1145/2207676.2208561,br/061502990213
10.1145/2207676.2208562,br/061502990380
10.1145/2207676.2208564,br/061502990278
10.1145/2207676.2208565,br/061502990113
10.1145/2207676.2208567,br/061502990378
10.1145/2207676.2208568,br/061502990379
10.1145/2207676.2208569,br/061502990039
10.1145/2207676.2208570,br/061502990234
10.1145/2207676.2208572,br/061502990045
10.1145/2207676.2208573,br/061502990507
10.1145/2207676.2208575,br/061502990157
10.1145/2207676.2208576,br/061502990204
10.1145/2207676.2208577,br/061502990079
10.1145/2207676.2208579,br/061502990405
10.1145/2207676.2208580,br/061502990238
10.1145/2207676.2208581,br/061502990133
10.1145/2207676.2208583,br/061502990478
10.1145/2207676.2208584,br/061502990435
10.1145/2207676.2208585,br/061502990123
10.1145/2207676.2208586,br/061502990187
10.1145/2207676.2208588,br/061502990347
10.1145/2207676.2208589,br/061502990486
10.1145/2207676.2208590,br/061502990294
10.1145/2207676.2208591,br/061502990077
10.1145/2207676.2208593,br/061502990345
10.1145/2207676.2208594,br/061502990214
10.1145/2207676.2208595,br/061502990114
10.1145/2207676.2208597,br/061502990269
10.1145/2207676.2208598,br/061502990199
10.1145/2207676.2208600,br/061502990153
10.1145/2207676.2208601,br/061502990188
10.1145/2207676.2208602,br/061502990279
10.1145/2207676.2208603,br/061502990427
10.1145/2207676.2208605,br/061502990389
10.1145/2207676.2208606,br/061502990142
10.1145/2207676.2208607,br/061502990165
10.1145/2207676.2208608,br/061502990374
10.1145/2207676.2208610,br/061502990449
10.1145/2207676.2208611,br/061502990301
10.1145/2207676.2208612,br/061502990358
10.1145/2207676.2208613,br/061502990032
10.1145/2207676.2208614,br/061502990384
10.1145/2207676.2208616,br/061502990010
10.1145/2207676.2208617,br/061502990041
10.1145/2207676.2208619,br/061502990280
10.1145/2207676.2208620,br/061502990513
10.1145/2207676.2208621,br/061502990128
10.1145/2207676.2208622,br/061502990362
10.1145/2207676.2208278,br/061502990050
10.1145/2207676.2208279,br/061502990346
10.1145/2207676.2208280,br/061502990555
10.1145/2207676.2208282,br/061502990100
10.1145/2207676.2208283,br/061502990075
10.1145/2207676.2208284,br/061502990244
10.1145/2207676.2208285,br/061502990194
10.1145/2207676.2208287,br/061502990319
10.1145/2207676.2208288,br/061502989980
10.1145/2207676.2208289,br/061502990289
10.1145/2207676.2208291,br/061502990246
10.1145/2207676.2208292,br/061502990178
10.1145/2207676.2208293,br/061502990517
10.1145/2207676.2208294,br/061502990553
10.1145/2207676.2208296,br/061502990235
10.1145/2207676.2208297,br/061502990270
10.1145/2207676.2208298,br/061502990267
10.1145/2207676.2208299,br/061502990085
10.1145/2207676.2208301,br/061502990471
10.1145/2207676.2208302,br/061502990161
10.1145/2207676.2208303,br/061502990382
10.1145/2207676.2208304,br/061502990197
10.1145/2207676.2208305,br/061502990491
10.1145/2207676.2208307,br/061502990496
10.1145/2207676.2208308,br/061502990341
10.1145/2207676.2208310,br/061502990545
10.1145/2207676.2208311,br/061502989979
10.1145/2207676.2208312,br/061502990540
10.1145/2207676.2208314,br/061502990414
10.1145/2207676.2208315,br/061502990056
10.1145/2207676.2208316,br/061502990333
10.1145/2207676.2208317,br/061502990410
10.1145/2207676.2208319,br/061502990355
10.1145/2207676.2208320,br/061502990149
10.1145/2207676.2208322,br/061502990426
10.1145/2207676.2208323,br/061502990200
10.1145/2207676.2208324,br/061502990453
10.1145/2207676.2208326,br/061502990433
10.1145/2207676.2208327,br/061502990198
10.1145/2207676.2208328,br/061502990316
10.1145/2207676.2208330,br/061502990284
10.1145/2207676.2208331,br/061502990144
10.1145/2207676.2208332,br/061502990472
10.1145/2207676.2208333,br/061502990022
10.1145/2207676.2208334,br/061502990090
10.1145/2207676.2208335,br/061502990160
10.1145/2207676.2208337,br/061502990454
10.1145/2207676.2208338,br/061502990037
10.1145/2207676.2208339,br/061502990488
10.1145/2207676.2208341,br/061502990538
10.1145/2207676.2208342,br/061502990117
10.1145/2207676.2208343,br/061502990171
10.1145/2207676.2208344,br/061502990314
10.1145/2207676.2208345,br/061502990147
10.1145/2207676.2208347,br/061502990556
10.1145/2207676.2208348,br/061502990025
10.1145/2207676.2208350,br/061502990263
10.1145/2207676.2208351,br/061502990500
10.1145/2207676.2208352,br/061502990155
10.1145/2207676.2208354,br/061502990121
10.1145/2207676.2208355,br/061502990310
10.1145/2207676.2208356,br/061502990293
10.1145/2207676.2208357,br/061502990408
10.1145/2207676.2208358,br/061502990351
10.1145/2207676.2208360,br/061502990082
10.1145/2207676.2208361,br/061502990429
10.1145/2207676.2208363,br/061502990365
10.1145/2207676.2208364,br/061502989977
10.1145/2207676.2208365,br/061502990321
10.1145/2207676.2208366,br/061502990203
10.1145/2207676.2208368,br/061502990521
10.1145/2207676.2208369,br/061502990052
10.1145/2207676.2208370,br/061502990304
10.1145/2207676.2208371,br/061502990529
10.1145/2207676.2208372,br/061502990207
10.1145/2207676.2208374,br/061502990104
10.1145/2207676.2208375,br/061502990504
10.1145/2207676.2208376,br/061502990044
10.1145/2207676.2208377,br/061502990111
10.1145/2207676.2208378,br/061502990247
10.1145/2207676.2208380,br/061502990026
10.1145/2207676.2208381,br/061502990281
10.1145/2207676.2208382,br/061502990354
10.1145/2207676.2208383,br/061502990535
10.1145/2207676.2208385,br/061502990119
10.1145/2207676.2208386,br/061502990190
10.1145/2207676.2208387,br/061502990401
10.1145/2207676.2208388,br/061502990042
10.1145/2207676.2208390,br/061502990049
